Unnamed: 0,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,actual_churn,churn_probability,risk_segment,retention_priority,recommended_action
1067,0,0,36,0,405,8,6,6,2,1,2,25,45.585,0,0.020988733,Low,Routine,Maintain standard customer engagement
1069,0,0,35,0,7203,121,377,41,2,1,1,25,2026.08,0,5.6090103e-05,Low,Routine,Maintain standard customer engagement
1078,0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0.9999498,Critical,Immediate,Escalate for immediate retention intervention
1082,0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.002707783,Low,Routine,Maintain standard customer engagement
1088,0,1,25,0,1010,30,186,9,2,2,1,25,883.8,1,0.18362878,Medium,Monitor,Send proactive engagement and satisfaction check
1089,0,0,24,0,1263,33,23,66,4,1,1,45,89.9,0,0.0002203959,Low,Routine,Maintain standard customer engagement
1092,5,0,23,0,920,26,12,11,2,1,1,25,96.57,0,7.558053e-05,Low,Routine,Maintain standard customer engagement
1094,0,0,16,0,1390,20,21,12,2,1,1,25,157.95,0,0.00035991485,Low,Routine,Maintain standard customer engagement
1095,11,0,15,0,6088,135,78,40,1,2,1,15,771.265,0,8.284592e-05,Low,Routine,Maintain standard customer engagement
1096,7,0,13,0,8628,165,66,38,4,1,1,45,384.825,0,0.00018520861,Low,Routine,Maintain standard customer engagement
1109,5,0,38,1,4270,80,0,25,3,1,1,30,174.0,0,2.5650157e-05,Low,Routine,Maintain standard customer engagement
1112,23,0,38,3,14895,222,52,32,3,1,1,30,812.68,0,0.00010970706,Low,Routine,Maintain standard customer engagement
1118,0,0,37,0,0,0,0,0,2,1,1,25,0.0,1,0.11289228,Medium,Monitor,Send proactive engagement and satisfaction check
1120,5,0,37,1,11220,151,9,47,3,1,1,30,490.84,0,2.1068636e-05,Low,Routine,Maintain standard customer engagement
1124,11,1,36,1,5573,95,24,24,2,1,1,25,363.06,1,0.999519,Critical,Immediate,Escalate for immediate retention intervention
1144,0,0,18,0,1450,23,26,14,2,1,1,25,183.285,0,1.3171663e-05,Low,Routine,Maintain standard customer engagement
1150,0,0,34,0,4005,62,0,13,2,1,1,25,183.015,0,3.1521413e-05,Low,Routine,Maintain standard customer engagement
1156,0,0,34,0,1995,30,273,14,3,1,1,30,1173.0,0,9.534856e-06,Low,Routine,Maintain standard customer engagement
1157,5,0,33,0,8750,112,132,39,3,1,1,30,882.48,0,7.519649e-05,Low,Routine,Maintain standard customer engagement
1158,0,0,34,0,13408,160,0,40,3,1,1,30,542.72,0,1.46576685e-05,Low,Routine,Maintain standard customer engagement
1160,0,0,34,0,5553,86,0,8,2,1,1,25,253.755,0,0.013898176,Low,Routine,Maintain standard customer engagement
1166,0,0,33,0,510,5,0,7,2,1,2,25,23.175,0,0.0070402124,Low,Routine,Maintain standard customer engagement
1168,0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0.91249186,Critical,Immediate,Escalate for immediate retention intervention
1170,0,0,33,0,11100,145,0,43,3,1,1,30,449.8,0,1.8306771e-05,Low,Routine,Maintain standard customer engagement
1172,15,0,29,0,590,38,4,13,2,1,2,25,46.26,1,0.96276045,Critical,Immediate,Escalate for immediate retention intervention
1175,0,0,30,0,2475,13,0,10,3,1,1,30,99.52,0,8.519437e-05,Low,Routine,Maintain standard customer engagement
1184,0,0,30,1,6600,107,259,29,2,2,1,25,1467.315,0,5.2694017e-05,Low,Routine,Maintain standard customer engagement
1186,0,0,31,0,1300,35,26,16,3,1,2,30,157.4,0,0.014009027,Low,Routine,Maintain standard customer engagement
1192,2,0,21,0,860,23,7,9,2,1,1,25,71.235,0,2.6025917e-05,Low,Routine,Maintain standard customer engagement
1194,0,0,14,0,1330,17,16,10,2,1,1,25,132.615,0,0.0009777336,Low,Routine,Maintain standard customer engagement
1204,0,0,40,0,2168,54,5,35,1,1,1,15,149.71,0,1.3517311e-05,Low,Routine,Maintain standard customer engagement
1208,3,0,40,0,13548,165,3,46,3,1,1,30,560.52,0,5.738719e-06,Low,Routine,Maintain standard customer engagement
1212,21,0,40,3,14915,221,57,34,3,1,1,30,833.44,0,0.00011786839,Low,Routine,Maintain standard customer engagement
1219,0,0,39,0,7283,123,387,45,2,1,1,25,2074.77,0,6.398253e-05,Low,Routine,Maintain standard customer engagement
1222,19,0,35,0,730,43,19,19,2,1,2,25,120.285,1,0.99946684,Critical,Immediate,Escalate for immediate retention intervention
1234,2,0,36,3,6740,112,274,35,2,2,1,25,1541.34,0,0.00011727263,Low,Routine,Maintain standard customer engagement
1235,0,0,38,0,3493,78,5,30,2,1,1,25,183.195,0,8.312076e-05,Low,Routine,Maintain standard customer engagement
1237,2,0,38,0,2555,49,178,25,2,1,1,25,918.18,0,1.0348342e-05,Low,Routine,Maintain standard customer engagement
1239,0,0,28,0,1343,35,33,70,4,1,1,45,116.95,0,0.00017804571,Low,Routine,Maintain standard customer engagement
1241,0,0,28,0,600,6,24,5,4,1,2,45,75.15,0,0.1667828,Medium,Monitor,Send proactive engagement and satisfaction check
1242,6,0,27,0,1000,28,22,15,2,1,1,25,145.26,0,0.000112702866,Low,Routine,Maintain standard customer engagement
1248,0,0,11,1,4165,36,218,12,3,1,1,30,1040.04,0,9.681979e-05,Low,Routine,Maintain standard customer engagement
1251,0,0,33,0,0,0,0,0,2,1,2,25,0.0,0,0.91249186,Critical,Immediate,Escalate for immediate retention intervention
1252,4,0,31,0,2068,52,342,18,2,1,1,25,1634.4,0,3.1307336e-05,Low,Routine,Maintain standard customer engagement
1256,0,0,32,0,1975,31,268,12,3,1,1,30,1152.24,0,5.294185e-06,Low,Routine,Maintain standard customer engagement
1260,0,0,32,0,5533,87,0,6,2,1,1,25,252.9,0,0.07680072,Low,Routine,Maintain standard customer engagement
1261,3,0,32,0,1853,46,0,11,3,1,2,30,75.96,0,0.003202911,Low,Routine,Maintain standard customer engagement
1263,0,0,32,0,2710,19,466,2,3,1,1,30,1973.16,0,4.0706025e-05,Low,Routine,Maintain standard customer engagement
1271,2,0,31,0,6333,67,91,31,2,1,1,25,697.5,0,8.607835e-05,Low,Routine,Maintain standard customer engagement
1286,0,0,29,0,1280,36,21,14,3,1,2,30,136.64,0,0.008381999,Low,Routine,Maintain standard customer engagement
1287,0,0,30,0,2395,45,158,17,2,1,1,25,820.8,0,3.8970084e-06,Low,Routine,Maintain standard customer engagement
1300,8,0,42,0,4325,75,13,21,3,1,1,30,228.0,0,9.39847e-05,Low,Routine,Maintain standard customer engagement
1309,7,0,42,1,4470,87,10,29,3,1,1,30,222.28,0,5.039636e-05,Low,Routine,Maintain standard customer engagement
1314,9,0,41,0,15440,186,158,34,2,1,1,25,1414.17,0,0.00048244858,Low,Routine,Maintain standard customer engagement
1316,0,0,41,0,830,18,8,15,2,1,2,25,74.16,0,0.0063671507,Low,Routine,Maintain standard customer engagement
1322,23,1,37,0,910,51,24,21,2,1,2,25,151.245,1,0.99989617,Critical,Immediate,Escalate for immediate retention intervention
1324,13,0,40,1,5773,102,34,28,2,1,1,25,417.375,0,0.8530863,High,High,Initiate targeted retention outreach
1326,9,1,39,0,2945,45,17,20,3,1,2,30,187.6,1,0.99889165,Critical,Immediate,Escalate for immediate retention intervention
1336,3,0,39,0,1620,48,46,24,3,1,2,30,250.72,0,0.0019686448,Low,Routine,Maintain standard customer engagement
1341,0,0,30,0,780,14,29,7,4,1,2,45,92.35,0,0.17550674,Medium,Monitor,Send proactive engagement and satisfaction check
1342,10,0,29,0,1180,36,27,17,2,1,1,25,176.22,0,0.0032352312,Low,Routine,Maintain standard customer engagement
1344,2,0,22,0,1650,30,36,18,2,1,1,25,237.6,0,4.852482e-06,Low,Routine,Maintain standard customer engagement
1355,1,0,30,0,3210,66,10,20,2,1,1,25,192.42,0,0.00015337567,Low,Routine,Maintain standard customer engagement
1358,0,0,30,0,13208,153,0,36,3,1,1,30,534.44,0,2.0415237e-05,Low,Routine,Maintain standard customer engagement
1364,0,0,29,0,14920,166,128,22,2,1,1,25,1254.87,0,3.474756e-05,Low,Routine,Maintain standard customer engagement
1380,0,0,25,0,6220,81,0,14,4,1,1,45,157.525,0,5.6359563e-06,Low,Routine,Maintain standard customer engagement
1394,0,0,10,0,1130,10,6,6,2,1,1,25,78.3,0,0.9873167,Critical,Immediate,Escalate for immediate retention intervention
1396,2,0,7,0,8368,155,51,32,4,1,1,45,340.575,0,0.00027769717,Low,Routine,Maintain standard customer engagement
1400,5,0,39,0,4245,73,9,20,2,1,1,25,234.81,0,0.0001477232,Low,Routine,Maintain standard customer engagement
1419,0,0,38,0,7383,129,388,46,2,1,1,25,2084.04,0,6.792903e-05,Low,Routine,Maintain standard customer engagement
1423,18,0,37,7,10310,95,5,45,4,2,1,45,272.625,0,0.00024767456,Low,Routine,Maintain standard customer engagement
1431,0,1,37,0,503,9,13,7,4,1,2,45,45.3,1,0.99976355,Critical,Immediate,Escalate for immediate retention intervention
1438,1,0,28,0,1190,38,197,14,2,2,1,25,941.76,0,4.6071077e-06,Low,Routine,Maintain standard customer engagement
1440,8,0,28,0,575,27,14,10,2,1,2,25,90.09,0,0.008045306,Low,Routine,Maintain standard customer engagement
1452,3,0,32,0,1968,46,341,17,2,1,1,25,1625.13,0,6.0555583e-05,Low,Routine,Maintain standard customer engagement
1467,0,0,33,0,0,0,0,0,2,1,2,25,0.0,0,0.91249186,Critical,Immediate,Escalate for immediate retention intervention
1476,2,1,30,0,2505,27,0,9,2,1,2,25,113.94,1,0.9993506,Critical,Immediate,Escalate for immediate retention intervention
1487,0,0,31,0,2295,39,157,16,2,1,1,25,811.53,0,5.250366e-06,Low,Routine,Maintain standard customer engagement
1488,0,0,22,0,830,22,175,4,2,2,1,25,825.84,0,2.1657745e-06,Low,Routine,Maintain standard customer engagement
1501,0,0,37,0,613,9,21,17,2,1,2,25,122.49,0,0.085308366,Low,Routine,Maintain standard customer engagement
1504,2,0,36,1,2688,62,16,46,1,1,1,15,239.25,0,0.00011807177,Low,Routine,Maintain standard customer engagement
1505,10,0,36,2,4070,86,46,41,3,1,1,30,350.24,0,0.0005843942,Low,Routine,Maintain standard customer engagement
1508,6,0,36,1,14068,173,14,57,3,1,1,30,625.64,0,5.1246017e-05,Low,Routine,Maintain standard customer engagement
1510,5,0,36,1,6213,99,21,25,2,1,1,25,378.54,0,0.01970054,Low,Routine,Maintain standard customer engagement
1512,24,0,36,4,15435,229,68,45,3,2,1,30,898.56,0,0.00014796806,Low,Routine,Maintain standard customer engagement
1517,1,0,36,0,1005,18,27,21,2,1,2,25,167.535,0,0.0026776039,Low,Routine,Maintain standard customer engagement
1522,22,0,31,0,1250,51,30,30,2,1,2,25,193.545,1,0.97761214,Critical,Immediate,Escalate for immediate retention intervention
1524,12,0,34,2,6113,102,40,37,2,1,1,25,459.675,0,0.00038913265,Low,Routine,Maintain standard customer engagement
1536,2,1,33,0,1960,48,52,33,3,1,2,30,288.32,1,0.9998129,Critical,Immediate,Escalate for immediate retention intervention
1541,0,0,24,0,1120,14,35,16,4,1,2,45,115.85,0,0.022725774,Low,Routine,Maintain standard customer engagement
1544,1,0,16,1,1990,30,42,27,2,1,1,25,279.9,0,0.00052523555,Low,Routine,Maintain standard customer engagement
1550,0,0,36,0,3465,55,0,10,2,1,1,25,158.4,0,2.7162083e-05,Low,Routine,Maintain standard customer engagement
1553,1,0,36,0,3293,50,0,18,1,1,1,15,183.865,0,0.00012760577,Low,Routine,Maintain standard customer engagement
1554,0,0,36,0,1488,42,0,16,1,1,1,15,84.15,0,0.00020711722,Low,Routine,Maintain standard customer engagement
1556,0,0,36,0,1455,23,257,1,3,1,1,30,1087.12,0,0.00025853756,Low,Routine,Maintain standard customer engagement
1558,0,0,36,0,12868,153,0,27,3,1,1,30,520.84,0,2.5630105e-05,Low,Routine,Maintain standard customer engagement
1559,0,0,36,0,3610,67,0,8,3,1,1,30,147.08,0,8.343437e-06,Low,Routine,Maintain standard customer engagement
1560,0,0,36,0,5013,79,0,13,2,1,1,25,229.14,0,0.002292016,Low,Routine,Maintain standard customer engagement
1563,0,0,36,0,2190,11,455,5,3,1,1,30,1908.04,0,0.0004581705,Low,Routine,Maintain standard customer engagement
1564,0,0,35,0,14580,166,122,13,2,1,1,25,1212.57,0,2.2771204e-05,Low,Routine,Maintain standard customer engagement
1573,12,0,34,5,9530,77,0,25,4,1,1,45,240.175,0,0.00014476143,Low,Routine,Maintain standard customer engagement
1575,0,0,32,0,1935,6,0,2,3,1,1,30,77.64,0,0.0022599837,Low,Routine,Maintain standard customer engagement
1576,0,0,33,0,2085,25,0,9,2,1,2,25,94.95,1,0.5904499,High,High,Initiate targeted retention outreach
1586,0,0,33,0,760,28,10,3,3,1,2,30,71.52,0,0.0028632174,Low,Routine,Maintain standard customer engagement
1589,0,0,24,0,663,23,2,51,4,1,1,45,22.15,0,9.485084e-05,Low,Routine,Maintain standard customer engagement
1592,0,0,23,0,0,0,0,0,2,1,1,25,0.0,0,0.0012559384,Low,Routine,Maintain standard customer engagement
1597,0,0,14,0,1948,29,3,2,3,1,1,30,91.08,0,0.14202677,Medium,Monitor,Send proactive engagement and satisfaction check
1600,3,0,37,0,4180,71,30,19,3,1,1,30,290.04,0,9.2864255e-05,Low,Routine,Maintain standard customer engagement
1601,0,0,38,0,128,5,32,6,3,1,2,30,133.32,0,0.7849543,High,High,Initiate targeted retention outreach
1613,0,0,37,1,2905,27,508,10,3,1,1,30,2149.28,0,1.886669e-05,Low,Routine,Maintain standard customer engagement
1618,0,0,36,0,0,0,25,0,2,1,2,25,112.5,1,0.82416177,High,High,Initiate targeted retention outreach
1624,8,1,35,1,5628,98,51,26,2,1,1,25,487.17,1,0.9992086,Critical,Immediate,Escalate for immediate retention intervention
1626,4,1,34,0,2800,41,34,18,3,1,2,30,249.64,1,0.99925655,Critical,Immediate,Escalate for immediate retention intervention
1632,0,0,35,1,148,4,29,4,5,1,1,55,45.78,0,0.0017223,Low,Routine,Maintain standard customer engagement
1635,0,0,35,0,3528,82,27,30,3,1,1,30,252.4,0,3.9902294e-05,Low,Routine,Maintain standard customer engagement
1642,5,0,24,0,1035,32,44,15,2,1,1,25,246.015,0,8.360036e-06,Low,Routine,Maintain standard customer engagement
1649,0,1,8,1,1298,19,25,9,3,1,1,30,152.68,1,0.99956125,Critical,Immediate,Escalate for immediate retention intervention
1652,5,0,34,0,2033,48,320,18,2,1,1,25,1533.645,0,6.2124804e-05,Low,Routine,Maintain standard customer engagement
1653,5,0,35,0,3778,54,0,29,1,1,1,15,210.76,0,0.00047790556,Low,Routine,Maintain standard customer engagement
1656,0,0,35,0,1940,27,246,12,3,1,1,30,1062.68,0,7.667853e-06,Low,Routine,Maintain standard customer engagement
1667,0,0,35,0,290,2,0,2,2,1,2,25,13.14,0,0.11158119,Medium,Monitor,Send proactive engagement and satisfaction check
1676,4,1,32,0,2570,29,0,10,2,1,2,25,116.955,1,0.99947447,Critical,Immediate,Escalate for immediate retention intervention
1678,0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0.91249186,Critical,Immediate,Escalate for immediate retention intervention
1679,0,0,33,0,1248,13,0,3,3,1,1,30,50.44,0,0.0026830863,Low,Routine,Maintain standard customer engagement
1683,20,0,28,1,15655,226,0,74,2,1,1,25,714.645,0,0.0007501467,Low,Routine,Maintain standard customer engagement
1691,0,0,23,0,0,0,0,0,4,1,2,45,0.0,0,0.0105829835,Low,Routine,Maintain standard customer engagement
1703,7,0,36,0,4083,61,3,36,1,1,1,15,244.42,0,0.00041535418,Low,Routine,Maintain standard customer engagement
1708,4,0,36,0,13658,164,2,45,3,1,1,30,560.88,0,3.0794152e-05,Low,Routine,Maintain standard customer engagement
1712,22,0,36,2,15025,220,56,33,3,1,1,30,833.8,0,0.0001765373,Low,Routine,Maintain standard customer engagement
1713,1,0,36,0,2980,22,485,9,3,1,1,30,2060.08,0,5.158812e-05,Low,Routine,Maintain standard customer engagement
1718,0,0,35,0,0,0,2,0,2,1,2,25,9.0,1,0.9775279,Critical,Immediate,Escalate for immediate retention intervention
1719,0,0,35,0,7393,122,386,44,2,1,1,25,2075.175,0,5.6090103e-05,Low,Routine,Maintain standard customer engagement
1720,4,0,35,0,11350,149,13,48,3,1,1,30,511.96,0,0.00010676695,Low,Routine,Maintain standard customer engagement
1736,0,0,33,0,1550,39,40,21,3,1,2,30,223.56,0,0.0011396605,Low,Routine,Maintain standard customer engagement
1737,3,0,34,0,2665,48,177,24,2,1,1,25,918.585,0,0.0001004126,Low,Routine,Maintain standard customer engagement
1743,0,0,23,0,3110,56,10,24,3,1,1,30,166.64,0,8.685244e-06,Low,Routine,Maintain standard customer engagement
1745,13,0,15,0,6277,136,87,43,1,2,1,15,831.215,0,8.4976105e-05,Low,Routine,Maintain standard customer engagement
1746,9,0,13,0,8817,166,75,41,4,1,1,45,412.075,0,0.00016837943,Low,Routine,Maintain standard customer engagement
1760,0,0,36,0,5423,88,0,7,2,1,1,25,247.995,0,0.04287245,Low,Routine,Maintain standard customer engagement
1761,2,0,36,0,1743,47,0,12,3,1,2,30,71.6,0,0.00041375624,Low,Routine,Maintain standard customer engagement
1770,0,0,35,0,10970,147,0,42,3,1,1,30,444.68,0,2.225675e-05,Low,Routine,Maintain standard customer engagement
1773,14,0,34,7,9940,86,0,37,4,1,1,45,250.65,0,0.00018681586,Low,Routine,Maintain standard customer engagement
1777,2,0,34,0,1773,37,18,26,3,1,2,30,144.4,1,0.7984501,High,High,Initiate targeted retention outreach
1779,0,0,34,0,1173,18,0,1,3,1,1,30,47.64,0,0.001544944,Low,Routine,Maintain standard customer engagement
1780,0,0,31,0,6290,90,0,17,4,1,1,45,159.5,0,2.8178018e-05,Low,Routine,Maintain standard customer engagement
1782,0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.002707783,Low,Routine,Maintain standard customer engagement
1787,0,0,34,0,2285,46,159,18,2,1,1,25,820.395,0,4.249476e-06,Low,Routine,Maintain standard customer engagement
1790,4,0,25,0,205,18,0,2,2,1,2,25,10.035,0,0.0014824091,Low,Routine,Maintain standard customer engagement
1793,0,0,23,0,2730,54,0,18,3,1,1,30,111.36,0,1.0659005e-05,Low,Routine,Maintain standard customer engagement
1794,0,0,16,0,1200,19,12,9,2,1,1,25,108.855,0,0.0007094222,Low,Routine,Maintain standard customer engagement
1808,0,0,31,0,13468,157,0,41,3,1,1,30,545.0,0,2.1396758e-05,Low,Routine,Maintain standard customer engagement
1813,0,0,31,0,2790,15,468,5,3,1,1,30,1984.2,0,2.2049711e-05,Low,Routine,Maintain standard customer engagement
1814,2,0,30,0,15180,170,135,27,2,1,1,25,1298.25,0,6.1457715e-05,Low,Routine,Maintain standard customer engagement
1827,2,0,29,0,1963,32,19,28,3,1,2,30,155.8,1,0.99702954,Critical,Immediate,Escalate for immediate retention intervention
1829,0,0,29,0,1363,13,0,3,3,1,1,30,55.04,0,0.0014042077,Low,Routine,Maintain standard customer engagement
1832,0,0,29,0,0,0,0,0,4,1,1,45,0.0,0,0.0032935757,Low,Routine,Maintain standard customer engagement
1835,0,0,29,0,3413,70,0,25,2,1,1,25,156.735,0,5.641373e-05,Low,Routine,Maintain standard customer engagement
1838,0,0,20,0,1010,24,178,8,2,2,1,25,847.53,0,6.712787e-07,Low,Routine,Maintain standard customer engagement
1839,0,0,19,0,1263,27,15,65,4,1,1,45,69.75,0,0.0004310918,Low,Routine,Maintain standard customer engagement
1843,0,0,18,0,2920,49,0,20,3,1,1,30,118.76,0,1.6086215e-05,Low,Routine,Maintain standard customer engagement
1851,0,0,42,0,13,5,8,3,3,1,2,30,32.72,0,0.97986436,Critical,Immediate,Escalate for immediate retention intervention
1852,7,0,40,0,2148,60,360,23,3,1,1,30,1528.32,0,2.3007475e-05,Low,Routine,Maintain standard customer engagement
1855,8,0,41,1,3470,82,33,27,3,1,1,30,274.08,0,5.4805376e-05,Low,Routine,Maintain standard customer engagement
1856,1,0,41,0,2055,39,286,17,3,1,1,30,1227.76,0,9.746642e-06,Low,Routine,Maintain standard customer engagement
1860,3,0,41,0,5613,95,8,11,3,1,1,30,260.32,0,0.00012520826,Low,Routine,Maintain standard customer engagement
1867,0,0,41,0,405,14,14,7,3,1,2,30,72.76,0,0.012658881,Low,Routine,Maintain standard customer engagement
1872,20,0,36,0,650,47,17,16,3,1,2,30,95.88,1,0.9996038,Critical,Immediate,Escalate for immediate retention intervention
1873,18,0,39,8,10130,93,2,41,5,1,1,55,156.345,0,6.728863e-05,Low,Routine,Maintain standard customer engagement
1880,0,0,36,1,6480,97,15,21,5,1,1,55,121.155,0,2.247034e-05,Low,Routine,Maintain standard customer engagement
1884,3,0,37,3,6660,116,272,32,2,2,1,25,1528.92,0,0.00012383955,Low,Routine,Maintain standard customer engagement
1886,0,0,38,0,1360,44,39,19,3,1,2,30,212.16,0,0.00064595666,Low,Routine,Maintain standard customer engagement
1887,3,0,39,0,2475,53,176,22,2,1,1,25,905.76,0,1.6475566e-05,Low,Routine,Maintain standard customer engagement
1911,10,0,37,0,2643,59,9,15,3,1,2,30,144.08,0,0.0053933472,Low,Routine,Maintain standard customer engagement
1912,26,1,37,3,15545,230,55,30,3,1,1,30,851.0,0,0.002786808,Low,Routine,Maintain standard customer engagement
1916,1,0,36,0,1280,19,1,9,2,1,2,25,62.955,0,0.0041250205,Low,Routine,Maintain standard customer engagement
1922,24,0,32,0,1360,52,17,15,2,1,2,25,140.04,1,0.92575186,Critical,Immediate,Escalate for immediate retention intervention
1925,2,0,33,0,3245,27,1,12,3,1,1,30,134.88,0,0.00068776135,Low,Routine,Maintain standard customer engagement
1927,10,1,35,0,2673,49,35,29,3,1,2,30,248.88,1,0.9981008,Critical,Immediate,Escalate for immediate retention intervention
1935,3,0,35,0,4123,87,3,26,2,1,1,25,202.95,0,0.0021208802,Low,Routine,Maintain standard customer engagement
1936,4,0,34,0,2070,49,39,18,3,1,2,30,240.76,0,0.004139543,Low,Routine,Maintain standard customer engagement
1939,5,0,25,0,1973,44,31,66,4,1,1,45,127.925,0,0.00046461986,Low,Routine,Maintain standard customer engagement
1943,3,0,24,0,3630,66,9,21,3,1,1,30,183.84,0,7.774838e-05,Low,Routine,Maintain standard customer engagement
1948,3,0,8,1,4795,45,216,8,3,1,1,30,1057.6,0,0.00034347578,Low,Routine,Maintain standard customer engagement
1954,0,0,35,0,1378,41,0,31,1,1,1,15,78.045,0,0.00031202805,Low,Routine,Maintain standard customer engagement
1958,0,0,35,0,12758,152,0,42,3,1,1,30,516.4,0,1.4676117e-05,Low,Routine,Maintain standard customer engagement
1963,0,0,35,0,2080,10,451,6,3,1,1,30,1887.6,0,0.00013423109,Low,Routine,Maintain standard customer engagement
1975,0,0,31,0,1825,5,0,12,3,1,1,30,73.2,0,0.00038594403,Low,Routine,Maintain standard customer engagement
1979,0,0,33,0,653,8,0,4,3,1,1,30,26.44,0,0.0075528687,Low,Routine,Maintain standard customer engagement
1983,14,0,28,1,15060,221,0,78,2,1,1,25,687.645,0,0.00080837973,Low,Routine,Maintain standard customer engagement
1990,0,0,24,0,0,0,0,0,2,1,2,25,0.0,0,0.0222863,Low,Routine,Maintain standard customer engagement
1991,0,0,23,0,0,0,0,0,4,1,2,45,0.0,0,0.0105829835,Low,Routine,Maintain standard customer engagement
1998,0,0,6,0,3375,23,183,8,3,1,1,30,867.92,0,0.00029354406,Low,Routine,Maintain standard customer engagement
2000,3,0,36,0,4065,65,0,15,2,1,1,25,185.85,0,0.00020397197,Low,Routine,Maintain standard customer engagement
2012,20,0,36,2,14835,219,47,30,3,1,1,30,790.16,0,0.00021286645,Low,Routine,Maintain standard customer engagement
2014,4,0,35,0,15180,176,143,28,2,1,1,25,1334.52,0,0.00032265758,Low,Routine,Maintain standard customer engagement
2016,0,0,35,0,570,8,0,9,2,1,2,25,26.01,0,0.0021874635,Low,Routine,Maintain standard customer engagement
2017,0,0,36,0,405,8,6,6,2,1,2,25,45.585,0,0.020988733,Low,Routine,Maintain standard customer engagement
2019,0,0,35,0,7203,121,377,41,2,1,1,25,2026.08,0,5.6090103e-05,Low,Routine,Maintain standard customer engagement
2032,0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.002707783,Low,Routine,Maintain standard customer engagement
2039,0,0,24,0,1263,33,23,66,4,1,1,45,89.9,0,0.0002203959,Low,Routine,Maintain standard customer engagement
2042,5,0,23,0,920,26,12,11,2,1,1,25,96.57,0,7.558053e-05,Low,Routine,Maintain standard customer engagement
2044,0,0,16,0,1390,20,21,12,2,1,1,25,157.95,0,0.00035991485,Low,Routine,Maintain standard customer engagement
2046,7,0,13,0,8627,165,66,38,4,1,1,45,384.8,0,0.00018520861,Low,Routine,Maintain standard customer engagement
2050,3,0,36,0,4065,65,0,15,2,1,1,25,185.85,0,0.00020397197,Low,Routine,Maintain standard customer engagement
2062,20,0,36,2,14835,219,47,30,3,1,1,30,790.16,0,0.00021286645,Low,Routine,Maintain standard customer engagement
2064,4,0,35,0,15180,176,143,28,2,1,1,25,1334.52,0,0.00032265758,Low,Routine,Maintain standard customer engagement
2066,0,0,35,0,570,8,0,9,2,1,2,25,26.01,0,0.0021874635,Low,Routine,Maintain standard customer engagement
2067,0,0,36,0,405,8,6,6,2,1,2,25,45.585,0,0.020988733,Low,Routine,Maintain standard customer engagement
2069,0,0,35,0,7203,121,377,41,2,1,1,25,2026.08,0,5.6090103e-05,Low,Routine,Maintain standard customer engagement
2078,0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0.9999498,Critical,Immediate,Escalate for immediate retention intervention
2082,0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.002707783,Low,Routine,Maintain standard customer engagement
2089,0,0,24,0,1263,33,23,66,4,1,1,45,89.9,0,0.0002203959,Low,Routine,Maintain standard customer engagement
2092,5,0,23,0,920,26,12,11,2,1,1,25,96.57,0,7.558053e-05,Low,Routine,Maintain standard customer engagement
2094,0,0,16,0,1390,20,21,12,2,1,1,25,157.95,0,0.00035991485,Low,Routine,Maintain standard customer engagement
2096,7,0,13,0,8627,165,66,38,4,1,1,45,384.8,0,0.00018520861,Low,Routine,Maintain standard customer engagement
2101,5,0,41,0,623,11,14,6,3,1,2,30,81.36,0,0.23509671,Medium,Monitor,Send proactive engagement and satisfaction check
2104,8,0,40,1,2698,64,9,35,2,1,1,25,164.79,0,0.0009127359,Low,Routine,Maintain standard customer engagement
2120,12,0,39,2,11770,160,18,49,4,1,1,45,343.25,0,9.334751e-05,Low,Routine,Maintain standard customer engagement
2126,14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1,0.99996805,Critical,Immediate,Escalate for immediate retention intervention
2127,14,1,38,0,2573,50,41,33,4,1,2,45,168.075,1,0.9997434,Critical,Immediate,Escalate for immediate retention intervention
2131,5,0,38,0,933,13,16,6,4,1,2,45,63.65,1,0.98963696,Critical,Immediate,Escalate for immediate retention intervention
2146,17,0,17,1,9238,177,80,42,5,1,1,55,261.225,0,0.0002052283,Low,Routine,Maintain standard customer engagement
2149,8,1,11,2,1793,25,7,9,3,1,1,30,100.72,1,0.9999534,Critical,Immediate,Escalate for immediate retention intervention
2152,18,0,41,2,2818,69,371,28,3,1,1,30,1599.48,0,0.00016509063,Low,Routine,Maintain standard customer engagement
2154,11,0,42,2,2758,67,14,37,2,1,1,25,190.125,0,0.0018988712,Low,Routine,Maintain standard customer engagement
2156,12,0,42,2,2725,48,297,22,4,1,1,45,811.825,0,0.0005235331,Low,Routine,Maintain standard customer engagement
2157,21,0,41,4,9480,130,156,47,3,1,1,30,1008.4,0,9.525764e-05,Low,Routine,Maintain standard customer engagement
2163,12,0,42,3,3460,36,495,12,4,1,1,45,1324.9,0,0.00011011077,Low,Routine,Maintain standard customer engagement
